,dawka_1,dawka_2,dostawa,grupa,marka,denom,location,week2,year2,date
0,0,0,0.0,1_Age60+,JANSS,2259262.0,Austria,53,2020,2020-12-28
1,0,0,0.0,1_Age60+,UNK,2259262.0,Austria,53,2020,2020-12-28
2,0,0,0.0,1_Age60+,AZ,2259262.0,Austria,53,2020,2020-12-28
3,0,0,0.0,1_Age60+,MOD,2259262.0,Austria,53,2020,2020-12-28
4,2766,0,61425.0,1_Age60+,COM,2259262.0,Austria,53,2020,2020-12-28
5,0,0,0.0,1_Age<60,JANSS,5099181.0,Austria,53,2020,2020-12-28
6,0,0,0.0,1_Age<60,UNK,5099181.0,Austria,53,2020,2020-12-28
7,2326,0,61425.0,1_Age<60,COM,5099181.0,Austria,53,2020,2020-12-28
8,0,0,0.0,1_Age<60,AZ,5099181.0,Austria,53,2020,2020-12-28
9,0,0,0.0,1_Age<60,MOD,5099181.0,Austria,53,2020,2020-12-28
10,0,0,0.0,ALL,AZ,7358443.0,Austria,53,2020,2020-12-28
11,0,0,0.0,ALL,UNK,7358443.0,Austria,53,2020,2020-12-28
12,0,0,0.0,ALL,JANSS,7358443.0,Austria,53,2020,2020-12-28
13,0,0,0.0,ALL,MOD,7358443.0,Austria,53,2020,2020-12-28
14,5087,0,61425.0,ALL,COM,7358443.0,Austria,53,2020,2020-12-28
15,0,0,0.0,Age0_4,AZ,,Austria,53,2020,2020-12-28
16,0,0,0.0,Age0_4,JANSS,,Austria,53,2020,2020-12-28
17,0,0,0.0,Age0_4,UNK,,Austria,53,2020,2020-12-28
18,0,0,0.0,Age0_4,MOD,,Austria,53,2020,2020-12-28
19,1,0,61425.0,Age0_4,COM,,Austria,53,2020,2020-12-28
20,0,0,61425.0,Age10_14,COM,,Austria,53,2020,2020-12-28
21,0,0,0.0,Age10_14,MOD,,Austria,53,2020,2020-12-28
22,0,0,0.0,Age10_14,JANSS,,Austria,53,2020,2020-12-28
23,0,0,0.0,Age10_14,UNK,,Austria,53,2020,2020-12-28
24,0,0,0.0,Age10_14,AZ,,Austria,53,2020,2020-12-28
25,0,0,0.0,Age15_17,JANSS,,Austria,53,2020,2020-12-28
26,0,0,0.0,Age15_17,AZ,,Austria,53,2020,2020-12-28
27,4,0,61425.0,Age15_17,COM,,Austria,53,2020,2020-12-28
28,0,0,0.0,Age15_17,MOD,,Austria,53,2020,2020-12-28
29,0,0,0.0,Age15_17,UNK,,Austria,53,2020,2020-12-28
30,0,0,0.0,Age18_24,AZ,696064.0,Austria,53,2020,2020-12-28
31,0,0,0.0,Age18_24,JANSS,696064.0,Austria,53,2020,2020-12-28
32,0,0,0.0,Age18_24,UNK,696064.0,Austria,53,2020,2020-12-28
33,81,0,61425.0,Age18_24,COM,696064.0,Austria,53,2020,2020-12-28
34,0,0,0.0,Age18_24,MOD,696064.0,Austria,53,2020,2020-12-28
35,1239,0,61425.0,Age25_49,COM,3006228.0,Austria,53,2020,2020-12-28
36,0,0,0.0,Age25_49,UNK,3006228.0,Austria,53,2020,2020-12-28
37,0,0,0.0,Age25_49,JANSS,3006228.0,Austria,53,2020,2020-12-28
38,0,0,0.0,Age25_49,AZ,3006228.0,Austria,53,2020,2020-12-28
39,0,0,0.0,Age25_49,MOD,3006228.0,Austria,53,2020,2020-12-28
40,0,0,0.0,Age50_59,AZ,1396889.0,Austria,53,2020,2020-12-28
41,0,0,0.0,Age50_59,UNK,1396889.0,Austria,53,2020,2020-12-28
42,0,0,0.0,Age50_59,MOD,1396889.0,Austria,53,2020,2020-12-28
43,1001,0,61425.0,Age50_59,COM,1396889.0,Austria,53,2020,2020-12-28
44,0,0,0.0,Age50_59,JANSS,1396889.0,Austria,53,2020,2020-12-28
45,0,0,0.0,Age5_9,UNK,,Austria,53,2020,2020-12-28
46,0,0,0.0,Age5_9,JANSS,,Austria,53,2020,2020-12-28
47,0,0,0.0,Age5_9,AZ,,Austria,53,2020,2020-12-28
48,0,0,61425.0,Age5_9,COM,,Austria,53,2020,2020-12-28
49,0,0,0.0,Age5_9,MOD,,Austria,53,2020,2020-12-28
50,0,0,0.0,Age60_69,UNK,1016016.0,Austria,53,2020,2020-12-28
51,0,0,0.0,Age60_69,AZ,1016016.0,Austria,53,2020,2020-12-28
52,0,0,0.0,Age60_69,MOD,1016016.0,Austria,53,2020,2020-12-28
53,574,0,61425.0,Age60_69,COM,1016016.0,Austria,53,2020,2020-12-28
54,0,0,0.0,Age60_69,JANSS,1016016.0,Austria,53,2020,2020-12-28
55,0,0,0.0,Age70_79,UNK,769199.0,Austria,53,2020,2020-12-28
56,0,0,0.0,Age70_79,AZ,769199.0,Austria,53,2020,2020-12-28
57,0,0,0.0,Age70_79,JANSS,769199.0,Austria,53,2020,2020-12-28
58,551,0,61425.0,Age70_79,COM,769199.0,Austria,53,2020,2020-12-28
59,0,0,0.0,Age70_79,MOD,769199.0,Austria,53,2020,2020-12-28
60,0,0,0.0,Age80+,UNK,474047.0,Austria,53,2020,2020-12-28
61,0,0,0.0,Age80+,MOD,474047.0,Austria,53,2020,2020-12-28
62,0,0,0.0,Age80+,JANSS,474047.0,Austria,53,2020,2020-12-28
63,0,0,0.0,Age80+,AZ,474047.0,Austria,53,2020,2020-12-28
64,1641,0,61425.0,Age80+,COM,474047.0,Austria,53,2020,2020-12-28
65,0,0,0.0,Age<18,MOD,,Austria,53,2020,2020-12-28
66,0,0,0.0,Age<18,JANSS,,Austria,53,2020,2020-12-28
67,5,0,61425.0,Age<18,COM,,Austria,53,2020,2020-12-28
68,0,0,0.0,Age<18,UNK,,Austria,53,2020,2020-12-28
69,0,0,0.0,Age<18,AZ,,Austria,53,2020,2020-12-28
70,8323,0,61425.0,1_Age60+,COM,2259262.0,Austria,01,2021,2021-01-04
71,0,0,0.0,1_Age60+,AZ,2259262.0,Austria,01,2021,2021-01-04
72,0,0,0.0,1_Age60+,UNK,2259262.0,Austria,01,2021,2021-01-04
73,0,0,0.0,1_Age60+,JANSS,2259262.0,Austria,01,2021,2021-01-04
74,0,0,0.0,1_Age60+,MOD,2259262.0,Austria,01,2021,2021-01-04
75,17595,0,61425.0,1_Age<60,COM,5099181.0,Austria,01,2021,2021-01-04
76,0,0,0.0,1_Age<60,AZ,5099181.0,Austria,01,2021,2021-01-04
77,0,0,0.0,1_Age<60,JANSS,5099181.0,Austria,01,2021,2021-01-04
78,0,0,0.0,1_Age<60,UNK,5099181.0,Austria,01,2021,2021-01-04
79,0,0,0.0,1_Age<60,MOD,5099181.0,Austria,01,2021,2021-01-04
80,0,0,0.0,ALL,UNK,7358443.0,Austria,01,2021,2021-01-04
81,25894,0,61425.0,ALL,COM,7358443.0,Austria,01,2021,2021-01-04
82,0,0,0.0,ALL,AZ,7358443.0,Austria,01,2021,2021-01-04
83,0,0,0.0,ALL,MOD,7358443.0,Austria,01,2021,2021-01-04
84,0,0,0.0,ALL,JANSS,7358443.0,Austria,01,2021,2021-01-04
85,0,0,0.0,Age0_4,UNK,,Austria,01,2021,2021-01-04
86,0,0,61425.0,Age0_4,COM,,Austria,01,2021,2021-01-04
87,0,0,0.0,Age0_4,MOD,,Austria,01,2021,2021-01-04
88,0,0,0.0,Age0_4,AZ,,Austria,01,2021,2021-01-04
89,0,0,0.0,Age0_4,JANSS,,Austria,01,2021,2021-01-04
90,0,0,61425.0,Age10_14,COM,,Austria,01,2021,2021-01-04
91,0,0,0.0,Age10_14,MOD,,Austria,01,2021,2021-01-04
92,0,0,0.0,Age10_14,JANSS,,Austria,01,2021,2021-01-04
93,0,0,0.0,Age10_14,AZ,,Austria,01,2021,2021-01-04
94,0,0,0.0,Age10_14,UNK,,Austria,01,2021,2021-01-04
95,0,0,0.0,Age15_17,MOD,,Austria,01,2021,2021-01-04
96,0,0,0.0,Age15_17,UNK,,Austria,01,2021,2021-01-04
97,0,0,0.0,Age15_17,JANSS,,Austria,01,2021,2021-01-04
98,23,0,61425.0,Age15_17,COM,,Austria,01,2021,2021-01-04
99,0,0,0.0,Age15_17,AZ,,Austria,01,2021,2021-01-04
100,0,0,0.0,Age18_24,MOD,696064.0,Austria,01,2021,2021-01-04
101,0,0,0.0,Age18_24,JANSS,696064.0,Austria,01,2021,2021-01-04
102,780,0,61425.0,Age18_24,COM,696064.0,Austria,01,2021,2021-01-04
103,0,0,0.0,Age18_24,UNK,696064.0,Austria,01,2021,2021-01-04
104,0,0,0.0,Age18_24,AZ,696064.0,Austria,01,2021,2021-01-04
105,0,0,0.0,Age25_49,JANSS,3006228.0,Austria,01,2021,2021-01-04
106,0,0,0.0,Age25_49,AZ,3006228.0,Austria,01,2021,2021-01-04
107,0,0,0.0,Age25_49,MOD,3006228.0,Austria,01,2021,2021-01-04
108,0,0,0.0,Age25_49,UNK,3006228.0,Austria,01,2021,2021-01-04
109,10298,0,61425.0,Age25_49,COM,3006228.0,Austria,01,2021,2021-01-04
110,0,0,0.0,Age50_59,JANSS,1396889.0,Austria,01,2021,2021-01-04
111,0,0,0.0,Age50_59,AZ,1396889.0,Austria,01,2021,2021-01-04
112,0,0,0.0,Age50_59,UNK,1396889.0,Austria,01,2021,2021-01-04
113,0,0,0.0,Age50_59,MOD,1396889.0,Austria,01,2021,2021-01-04
114,6493,0,61425.0,Age50_59,COM,1396889.0,Austria,01,2021,2021-01-04
115,0,0,0.0,Age5_9,JANSS,,Austria,01,2021,2021-01-04
116,1,0,61425.0,Age5_9,COM,,Austria,01,2021,2021-01-04
117,0,0,0.0,Age5_9,AZ,,Austria,01,2021,2021-01-04
118,0,0,0.0,Age5_9,MOD,,Austria,01,2021,2021-01-04
119,0,0,0.0,Age5_9,UNK,,Austria,01,2021,2021-01-04
120,0,0,0.0,Age60_69,AZ,1016016.0,Austria,01,2021,2021-01-04
121,0,0,0.0,Age60_69,MOD,1016016.0,Austria,01,2021,2021-01-04
122,0,0,0.0,Age60_69,JANSS,1016016.0,Austria,01,2021,2021-01-04
123,0,0,0.0,Age60_69,UNK,1016016.0,Austria,01,2021,2021-01-04
124,2695,0,61425.0,Age60_69,COM,1016016.0,Austria,01,2021,2021-01-04
125,0,0,0.0,Age70_79,JANSS,769199.0,Austria,01,2021,2021-01-04
126,1502,0,61425.0,Age70_79,COM,769199.0,Austria,01,2021,2021-01-04
127,0,0,0.0,Age70_79,MOD,769199.0,Austria,01,2021,2021-01-04
128,0,0,0.0,Age70_79,UNK,769199.0,Austria,01,2021,2021-01-04
129,0,0,0.0,Age70_79,AZ,769199.0,Austria,01,2021,2021-01-04
130,0,0,0.0,Age80+,UNK,474047.0,Austria,01,2021,2021-01-04
131,0,0,0.0,Age80+,AZ,474047.0,Austria,01,2021,2021-01-04
132,0,0,0.0,Age80+,MOD,474047.0,Austria,01,2021,2021-01-04
133,4126,0,61425.0,Age80+,COM,474047.0,Austria,01,2021,2021-01-04
134,0,0,0.0,Age80+,JANSS,474047.0,Austria,01,2021,2021-01-04
135,0,0,0.0,Age<18,AZ,,Austria,01,2021,2021-01-04
136,0,0,0.0,Age<18,JANSS,,Austria,01,2021,2021-01-04
137,0,0,0.0,Age<18,UNK,,Austria,01,2021,2021-01-04
138,0,0,0.0,Age<18,MOD,,Austria,01,2021,2021-01-04
139,24,0,61425.0,Age<18,COM,,Austria,01,2021,2021-01-04
140,13,0,0.0,1_Age60+,UNK,2259262.0,Austria,02,2021,2021-01-11
141,0,0,0.0,1_Age60+,JANSS,2259262.0,Austria,02,2021,2021-01-11
142,79,0,7200.0,1_Age60+,MOD,2259262.0,Austria,02,2021,2021-01-11
143,0,0,0.0,1_Age60+,AZ,2259262.0,Austria,02,2021,2021-01-11
144,40425,181,61425.0,1_Age60+,COM,2259262.0,Austria,02,2021,2021-01-11
145,9,0,7200.0,1_Age<60,MOD,5099181.0,Austria,02,2021,2021-01-11
146,2,0,0.0,1_Age<60,UNK,5099181.0,Austria,02,2021,2021-01-11
147,0,0,0.0,1_Age<60,AZ,5099181.0,Austria,02,2021,2021-01-11
148,43867,205,61425.0,1_Age<60,COM,5099181.0,Austria,02,2021,2021-01-11
149,0,0,0.0,1_Age<60,JANSS,5099181.0,Austria,02,2021,2021-01-11
150,84214,385,61425.0,ALL,COM,7358443.0,Austria,02,2021,2021-01-11
151,0,0,0.0,ALL,AZ,7358443.0,Austria,02,2021,2021-01-11
152,0,0,0.0,ALL,JANSS,7358443.0,Austria,02,2021,2021-01-11
153,88,0,7200.0,ALL,MOD,7358443.0,Austria,02,2021,2021-01-11
154,15,0,0.0,ALL,UNK,7358443.0,Austria,02,2021,2021-01-11
155,0,0,61425.0,Age0_4,COM,,Austria,02,2021,2021-01-11
156,0,0,7200.0,Age0_4,MOD,,Austria,02,2021,2021-01-11
157,0,0,0.0,Age0_4,JANSS,,Austria,02,2021,2021-01-11
158,0,0,0.0,Age0_4,AZ,,Austria,02,2021,2021-01-11
